game_id,game_date,scheduled_time_et,snapshot_captured_at,snapshot_classification,home_team,away_team,venue,game_type,game_type_source,home_pregame_pitcher_id,home_pregame_pitcher_name,home_final_pitcher_id,home_final_pitcher_name,home_actual_k,home_match_status,home_in_official_dataset,away_pregame_pitcher_id,away_pregame_pitcher_name,away_final_pitcher_id,away_final_pitcher_name,away_actual_k,away_match_status,away_in_official_dataset,any_defendible_observation,defendible_observation_count
"823939","2026-06-16","10:10 PM ET","2026-06-16T23:22:49.476Z","A","Los Angeles Dodgers","Tampa Bay Rays","UNIQLO Field at Dodger Stadium","R","MLB_STATS_API_SCHEDULE","","Justin Wrobleski","680736","Justin Wrobleski","","PREGAME_ID_MISSING","false","","Drew Rasmussen","656876","Drew Rasmussen","","PREGAME_ID_MISSING","false","false","0"
"824182","2026-06-16","8:10 PM ET","2026-06-16T23:22:40.572Z","A","Houston Astros","Detroit Tigers","Daikin Park","R","MLB_STATS_API_SCHEDULE","","Hunter Brown","686613","Hunter Brown","","PREGAME_ID_MISSING","false","","Framber Valdez","664285","Framber Valdez","","PREGAME_ID_MISSING","false","false","0"
"824504","2026-06-16","7:10 PM ET","2026-06-16T20:58:59.903Z","A","Cincinnati Reds","New York Mets","Great American Ball Park","R","MLB_STATS_API_SCHEDULE","","Brady Singer","663903","Brady Singer","","PREGAME_ID_MISSING","false","","Kodai Senga","673540","Kodai Senga","","PREGAME_ID_MISSING","false","false","0"
"824667","2026-06-16","8:05 PM ET","2026-06-16T23:22:36.377Z","A","Chicago Cubs","Colorado Rockies","Wrigley Field","R","MLB_STATS_API_SCHEDULE","","Edward Cabrera","665795","Edward Cabrera","","PREGAME_ID_MISSING","false","","Ryan Feltner","663372","Ryan Feltner","","PREGAME_ID_MISSING","false","false","0"
"824750","2026-06-16","6:45 PM ET","2026-06-16T20:58:54.898Z","A","Boston Red Sox","Toronto Blue Jays","Fenway Park","R","MLB_STATS_API_SCHEDULE","","Payton Tolle","801139","Payton Tolle","","PREGAME_ID_MISSING","false","","Dylan Cease","656302","Dylan Cease","","PREGAME_ID_MISSING","false","false","0"
"824991","2026-06-16","9:40 PM ET","2026-06-16T23:22:44.559Z","A","Athletics","Pittsburgh Pirates","Sutter Health Park","R","MLB_STATS_API_SCHEDULE","","Jack Perkins","678022","Jack Perkins","","PREGAME_ID_MISSING","false","","Mitch Keller","656605","Mitch Keller","","PREGAME_ID_MISSING","false","false","0"
"825070","2026-06-16","9:40 PM ET","2026-06-16T23:22:42.459Z","A","Arizona Diamondbacks","Los Angeles Angels","Chase Field","R","MLB_STATS_API_SCHEDULE","","Merrill Kelly","518876","Merrill Kelly","","PREGAME_ID_MISSING","false","","Reid Detmers","672282","Reid Detmers","","PREGAME_ID_MISSING","false","false","0"
"822721","2026-06-17","1:05 PM ET","2026-06-17T17:04:12.083Z","A","Washington Nationals","Kansas City Royals","Nationals Park","R","MLB_STATS_API_SCHEDULE","","Zack Littell","641793","Zack Littell","","PREGAME_ID_MISSING","false","","Luinder Avila","679883","Luinder Avila","","PREGAME_ID_MISSING","false","false","0"
"823044","2026-06-17","2:15 PM ET","2026-06-17T18:14:23.315Z","A","St. Louis Cardinals","San Diego Padres","Busch Stadium","R","MLB_STATS_API_SCHEDULE","","Kyle Leahy","681517","Kyle Leahy","","PREGAME_ID_MISSING","false","","Bradgley Rodriguez","699134","Bradgley Rodriguez","","PREGAME_ID_MISSING","false","false","0"
"823127","2026-06-17","9:40 PM ET","2026-06-17T18:39:24.128Z","A","Seattle Mariners","Baltimore Orioles","T-Mobile Park","R","MLB_STATS_API_SCHEDULE","","George Kirby","669923","George Kirby","","PREGAME_ID_MISSING","false","","Kyle Bradish","680694","Kyle Bradish","","PREGAME_ID_MISSING","false","false","0"
