target_game_id,target_date,side,pitcher_id,new_feature,stored_feature,stored_value,reconstructed_value,absolute_error,exact_match,material_difference,competition_status,temporal_evidence
"822710","2026-07-08","home","656492","last5StartsIpAvg","last5IpAvg","6.3","5.866666666666666","0.43333333333333357","false","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last5StartsBfAvg","last5BfAvg","24.6","22.8","1.8000000000000007","false","true","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last5StartsPitchCountAvg","last5PitchCountAvg","100","90","10","false","true","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","pitchesLastStart","pitchesLastStart","83","83","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","pitchesLast3Starts","pitchesLast3Starts","300","288","12","false","true","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","daysSinceLastStart","daysSinceLastStart","5","5","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3AppearancesKs1","last3Ks1","2","2","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3AppearancesKs2","last3Ks2","9","9","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3AppearancesKs3","last3Ks3","9","9","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3AppearancesIp1","last3Ip1","5","5","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3AppearancesIp2","last3Ip2","7","7","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3AppearancesIp3","last3Ip3","7.3","7.333333333333333","0.033333333333333215","false","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3AppearancesBf1","last3Bf1","20","20","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3AppearancesBf2","last3Bf2","26","26","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last3AppearancesBf3","last3Bf3","27","27","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last5AppearancesKsAvg","last5KsAvg","6.2","6.2","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last5AppearancesKsStd","last5KsStd","2.64","2.6381811916545836","0.0018188083454164783","false","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last5AppearancesIpAvg","last5IpAvg","6.3","6.266666666666667","0.033333333333333215","false","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last5AppearancesBfAvg","last5BfAvg","24.6","24.6","0","true","false","UNKNOWN","DATE_ONLY"
"822710","2026-07-08","home","656492","last5AppearancesPitchCountAvg","last5PitchCountAvg","100","100","0","true","false","UNKNOWN","DATE_ONLY"
"822712","2026-07-06","home","571945","last3StartsKs1","last3Ks1","3","3","0","true","false","UNKNOWN","DATE_ONLY"
"822712","2026-07-06","home","571945","last3StartsKs2","last3Ks2","2","3","1","false","true","UNKNOWN","DATE_ONLY"
"822712","2026-07-06","home","571945","last3StartsKs3","last3Ks3","3","3","0","true","false","UNKNOWN","DATE_ONLY"
"822712","2026-07-06","home","571945","last3StartsIp1","last3Ip1","7","7","0","true","false","UNKNOWN","DATE_ONLY"
"822712","2026-07-06","home","571945","last3StartsIp2","last3Ip2","3.3","5.333333333333333","2.033333333333333","false","true","UNKNOWN","DATE_ONLY"
"822712","2026-07-06","home","571945","last3StartsIp3","last3Ip3","5.3","3","2.3","false","true","UNKNOWN","DATE_ONLY"
"822712","2026-07-06","home","571945","last3StartsBf1","last3Bf1","30","30","0","true","false","UNKNOWN","DATE_ONLY"
"822712","2026-07-06","home","571945","last3StartsBf2","last3Bf2","16","19","3","false","true","UNKNOWN","DATE_ONLY"
"822712","2026-07-06","home","571945","last3StartsBf3","last3Bf3","19","17","2","false","true","UNKNOWN","DATE_ONLY"
"822712","2026-07-06","home","571945","last5StartsKsAvg","last5KsAvg","2.8","3.4","0.6000000000000001","false","false","UNKNOWN","DATE_ONLY"
"822712","2026-07-06","home","571945","last5StartsKsStd","last5KsStd","0.4","0.4898979485566356","0.08989794855663558","false","false","UNKNOWN","DATE_ONLY"
"822712","2026-07-06","home","571945","last5StartsIpAvg","last5IpAvg","4.5","4.933333333333333","0.4333333333333327","false","false","UNKNOWN","DATE_ONLY"
"822712","2026-07-06","home","571945","last5StartsBfAvg","last5BfAvg","19.6","23.2","3.599999999999998","false","true","UNKNOWN","DATE_ONLY"
